emp_no,dept_no,,emp_no,vlookup
54113,d004,,484752,54113
54114,d005,,266623,54114
54117,d002,,473620,54117
54118,d006,,487514,54118
54119,d005,,431259,#N/A
54122,d004,,280416,54122
54130,d005,,60363,#N/A
54134,d004,,231844,#N/A
54134,d009,,280914,#N/A
54135,d007,,469404,#N/A
54137,d005,,487761,#N/A
54141,d005,,430810,#N/A
54142,d007,,19272,#N/A
54146,d004,,456319,#N/A
54149,d007,,411345,#N/A
54150,d004,,100869,#N/A
54152,d007,,88884,#N/A
54153,d006,,216267,#N/A
54154,d004,,93351,#N/A
54158,d005,,75471,#N/A
54163,d002,,465222,#N/A
54165,d004,,400684,54165
54167,d003,,248976,#N/A
54169,d004,,27878,54169
54169,d005,,43611,54169
54171,d004,,83353,#N/A
54173,d005,,428134,#N/A
54179,d004,,470509,#N/A
54179,d009,,107783,#N/A
54181,d007,,224433,54181
54182,d005,,41274,#N/A
54183,d005,,235426,#N/A
54187,d005,,256166,#N/A
54187,d008,,460968,#N/A
54188,d002,,57221,#N/A
54191,d002,,214100,#N/A
54194,d005,,14638,#N/A
54196,d007,,51104,#N/A
54199,d005,,404856,54199
54200,d007,,80280,#N/A
54203,d009,,492056,#N/A
54204,d004,,66917,#N/A
54204,d006,,79077,#N/A
54214,d004,,478908,54214
54214,d009,,482367,54214
54217,d007,,404265,#N/A
54218,d004,,263366,#N/A
54219,d005,,13590,#N/A
54222,d005,,486406,54222
54224,d005,,292049,#N/A
54225,d004,,446434,#N/A
54225,d005,,289338,#N/A
54226,d005,,404803,#N/A
54227,d001,,481097,#N/A
54231,d004,,447559,#N/A
54233,d007,,57605,#N/A
54241,d002,,281324,#N/A
54243,d005,,474991,#N/A
54244,d002,,105228,#N/A
54246,d004,,412114,#N/A
54247,d005,,21161,#N/A
54248,d003,,55866,#N/A
54249,d008,,429956,54249
54250,d007,,414236,#N/A
54256,d006,,223901,#N/A
54257,d005,,45466,#N/A
54258,d005,,442855,54258
54260,d007,,108466,54260
54260,d009,,425092,54260
54261,d007,,235547,#N/A
54262,d004,,293799,#N/A
54265,d001,,18377,#N/A
54267,d004,,499575,#N/A
54271,d001,,24744,54271
54271,d009,,224849,54271
54273,d005,,437592,54273
54275,d004,,419033,#N/A
54276,d003,,277304,#N/A
54278,d006,,244938,#N/A
54279,d004,,69178,54279
54279,d006,,273492,54279
54280,d004,,253379,#N/A
54282,d008,,267062,#N/A
54284,d001,,241027,54284
54286,d007,,259675,54286
54299,d004,,463032,#N/A
54300,d004,,260699,#N/A
54302,d004,,479010,#N/A
54305,d004,,299369,#N/A
54308,d001,,431084,#N/A
54308,d009,,229882,#N/A
54309,d004,,412187,54309
54311,d005,,45435,#N/A
54317,d001,,64289,#N/A
54317,d009,,221614,#N/A
54318,d004,,248287,#N/A
54320,d002,,103637,#N/A
54321,d005,,258269,#N/A
54322,d002,,441702,#N/A
54323,d002,,41103,#N/A
54328,d005,,486584,#N/A
54328,d008,,229803,#N/A
54329,d005,,460301,#N/A
54332,d008,,264125,#N/A
54335,d005,,495239,#N/A
54345,d004,,278429,54345
54345,d005,,257404,54345
54349,d004,,241545,#N/A
54353,d002,,210556,54353
54354,d005,,85652,#N/A
54355,d004,,105904,#N/A
54355,d006,,424688,#N/A
54362,d004,,402431,#N/A
54363,d004,,59409,54363
54364,d001,,265850,#N/A
54364,d009,,283243,#N/A
54366,d005,,485576,#N/A
54369,d005,,35647,#N/A
54374,d004,,445980,#N/A
54377,d007,,26420,54377
54380,d005,,73778,54380
54380,d008,,265860,54380
54382,d005,,414487,54382
54384,d005,,484106,#N/A
54388,d003,,57744,#N/A
54391,d009,,485501,54391
54392,d005,,450817,54392
54394,d002,,108952,#N/A
54395,d005,,86980,#N/A
54397,d009,,59686,#N/A
54400,d008,,442824,#N/A
54401,d005,,68261,#N/A
54402,d005,,412982,#N/A
54410,d004,,283751,54410
54410,d006,,458622,54410
54411,d005,,265948,#N/A
54412,d007,,482289,#N/A
54415,d003,,33333,#N/A
54418,d004,,246608,#N/A
54419,d005,,250345,54419
54424,d004,,259131,#N/A
54425,d007,,64856,#N/A
54426,d008,,103918,#N/A
54427,d005,,441603,#N/A
54428,d009,,266963,#N/A
54429,d006,,430517,#N/A
54436,d002,,242510,#N/A
54437,d009,,46108,#N/A
54439,d005,,496323,#N/A
54442,d006,,205405,54442
54444,d007,,272364,#N/A
54445,d004,,420973,#N/A
54446,d004,,74434,#N/A
54447,d005,,264622,54447
54455,d004,,89634,#N/A
54460,d004,,109407,#N/A
54461,d007,,228339,#N/A
54461,d009,,459167,#N/A
54462,d005,,76014,#N/A
54464,d006,,33980,54464
54465,d007,,449640,#N/A
54470,d004,,278970,#N/A
54476,d004,,495889,#N/A
54479,d007,,479689,#N/A
54481,d004,,283316,#N/A
54481,d005,,69113,#N/A
54484,d006,,274522,#N/A
54487,d007,,48838,#N/A
54488,d007,,59446,#N/A
54489,d001,,432561,#N/A
54492,d007,,240484,#N/A
54498,d007,,427367,#N/A
54500,d004,,292786,54500
54500,d009,,219564,54500
54503,d005,,481382,#N/A
54504,d006,,103289,#N/A
54508,d007,,36298,54508
54509,d002,,38537,54509
54511,d003,,481800,#N/A
54512,d004,,426753,#N/A
54513,d004,,278084,54513
54514,d005,,265026,#N/A
54516,d003,,432707,#N/A
54517,d004,,444783,#N/A
54518,d001,,214850,#N/A
54519,d004,,461964,#N/A
54520,d005,,106412,#N/A
54523,d005,,448936,#N/A
54526,d005,,14505,#N/A
54527,d006,,221124,#N/A
54528,d005,,251554,#N/A
54530,d005,,490801,#N/A
54531,d004,,297438,54531
54535,d009,,408106,#N/A
54538,d007,,432806,54538
54540,d003,,475412,#N/A
54544,d009,,218133,#N/A
54545,d005,,286140,54545
54549,d002,,438960,#N/A
54552,d005,,219388,#N/A
54552,d008,,460360,#N/A
54556,d005,,458680,#N/A
54561,d007,,44257,#N/A
54561,d009,,231902,#N/A
54562,d007,,419573,#N/A
54563,d005,,200902,#N/A
54564,d002,,434574,#N/A
54567,d004,,424459,#N/A
54571,d005,,58398,#N/A
54572,d001,,228740,#N/A
54575,d005,,294919,#N/A
54578,d007,,249981,#N/A
54581,d004,,57617,54581
54581,d006,,264473,54581
54582,d001,,497446,54582
54585,d007,,485539,#N/A
54587,d005,,108184,#N/A
54589,d001,,99764,#N/A
54589,d009,,53190,#N/A
54593,d004,,291581,#N/A
54594,d006,,443124,54594
54595,d008,,226937,#N/A
54596,d004,,210469,#N/A
54598,d004,,48403,#N/A
54601,d004,,491229,#N/A
54603,d004,,462409,#N/A
54609,d005,,272426,#N/A
54612,d007,,425291,#N/A
54623,d005,,480477,#N/A
54625,d005,,47598,#N/A
54626,d008,,282531,#N/A
54630,d003,,401427,#N/A
54632,d002,,105699,#N/A
54634,d006,,202724,#N/A
54635,d005,,68934,#N/A
54636,d004,,105067,#N/A
54640,d007,,436974,#N/A
54644,d002,,71114,#N/A
54647,d003,,243041,54647
54648,d004,,423162,#N/A
54648,d009,,470195,#N/A
54657,d007,,216553,#N/A
54657,d009,,446717,#N/A
54658,d005,,406730,#N/A
54661,d004,,419504,#N/A
54663,d002,,276819,#N/A
54664,d004,,209034,#N/A
54669,d007,,48172,#N/A
54670,d001,,423035,#N/A
54671,d003,,402760,#N/A
54673,d006,,76396,#N/A
54674,d002,,35756,54674
54677,d005,,463005,#N/A
54685,d005,,266559,#N/A
54688,d005,,65170,#N/A
54689,d008,,222937,#N/A
54690,d005,,69892,#N/A
54692,d005,,68641,#N/A
54694,d004,,14675,#N/A
54695,d004,,481298,#N/A
54695,d009,,36783,#N/A
54696,d002,,39338,#N/A
54697,d001,,439409,#N/A
54698,d008,,63747,#N/A
54700,d004,,78112,#N/A
54701,d005,,281371,54701
54702,d005,,444880,#N/A
54705,d005,,471374,#N/A
54705,d008,,442783,#N/A
54709,d003,,409698,#N/A
54710,d007,,25258,#N/A
54711,d009,,229297,#N/A
54713,d006,,413636,#N/A
54714,d004,,254905,#N/A
54714,d006,,27640,#N/A
54717,d009,,16074,#N/A
54723,d007,,45511,#N/A
54723,d009,,428779,#N/A
54725,d005,,249994,#N/A
54726,d004,,279225,#N/A
54731,d004,,485117,#N/A
54731,d009,,424085,#N/A
54732,d002,,208738,#N/A
54734,d005,,476998,#N/A
54735,d005,,408704,#N/A
54737,d004,,290683,54737
54738,d001,,25489,#N/A
54739,d009,,38946,#N/A
54740,d007,,423377,#N/A
54740,d009,,278393,#N/A
54743,d002,,40106,54743
54745,d005,,212258,#N/A
54746,d007,,402102,#N/A
54751,d004,,235387,#N/A
54760,d005,,417219,#N/A
54762,d004,,43697,#N/A
54764,d003,,52529,#N/A
54771,d005,,271298,#N/A
54772,d004,,260182,#N/A
54776,d008,,467284,54776
54781,d004,,477405,#N/A
54782,d001,,430187,54782
54783,d005,,28891,#N/A
54785,d005,,456028,#N/A
54788,d007,,65086,#N/A
54791,d009,,487324,#N/A
54793,d005,,39110,#N/A
54795,d004,,401827,#N/A
54795,d009,,231265,#N/A
54797,d004,,425026,#N/A
54800,d007,,252253,54800
54803,d003,,101835,#N/A
54806,d004,,88089,#N/A
54806,d005,,485884,#N/A
54811,d007,,10688,#N/A
54815,d004,,100325,#N/A
54815,d008,,479415,#N/A
54816,d001,,493456,#N/A
54819,d002,,32420,#N/A
54823,d008,,400518,#N/A
54825,d004,,238390,#N/A
54825,d009,,402290,#N/A
54832,d004,,20538,#N/A
54833,d005,,46386,54833
54834,d007,,45796,#N/A
54836,d007,,108018,54836
54837,d002,,216052,#N/A
54839,d003,,292489,#N/A
54840,d005,,97242,#N/A
54843,d001,,430298,#N/A
54843,d007,,69135,#N/A
54844,d007,,234092,#N/A
54846,d004,,279311,#N/A
54847,d005,,109928,#N/A
54848,d007,,468136,#N/A
54851,d007,,217249,54851
54852,d008,,498010,#N/A
54854,d007,,411328,#N/A
54854,d009,,410280,#N/A
54856,d005,,266126,#N/A
54857,d005,,95128,#N/A
54860,d009,,404501,#N/A
54862,d005,,272914,54862
54865,d005,,466445,#N/A
54868,d005,,218967,#N/A
54870,d005,,70369,#N/A
54872,d006,,248114,54872
54876,d008,,481701,#N/A
54878,d007,,208892,#N/A
54882,d004,,256511,#N/A
54884,d008,,255364,#N/A
54885,d004,,495680,#N/A
54885,d005,,273750,#N/A
54887,d007,,264746,#N/A
54888,d004,,254235,54888
54890,d007,,290714,#N/A
54891,d004,,473263,#N/A
54893,d009,,454623,54893
54894,d001,,60172,#N/A
54894,d007,,202302,#N/A
54900,d007,,103752,#N/A
54901,d005,,62323,#N/A
54904,d001,,39756,#N/A
54904,d003,,421928,#N/A
54905,d009,,244011,#N/A
54908,d005,,278175,#N/A
54909,d004,,295308,#N/A
54913,d003,,88492,54913
54914,d002,,203315,#N/A
54914,d003,,490954,#N/A
54919,d001,,498495,54919
54921,d005,,411257,#N/A
54924,d009,,292229,#N/A
54926,d004,,272183,54926
54933,d001,,276045,#N/A
54935,d003,,269863,#N/A
54936,d001,,39988,#N/A
54940,d004,,23170,#N/A
54942,d009,,62395,#N/A
54946,d005,,213285,#N/A
54947,d005,,273201,#N/A
54948,d005,,468519,#N/A
54949,d005,,489282,#N/A
54953,d005,,261325,54953
54954,d005,,40947,#N/A
54954,d009,,258698,#N/A
54955,d004,,92993,#N/A
54959,d007,,79529,#N/A
54960,d007,,456657,#N/A
54961,d005,,472414,#N/A
54963,d005,,448844,54963
54963,d008,,226305,54963
54964,d005,,437506,54964
54969,d007,,221264,#N/A
54973,d004,,11070,#N/A
54973,d006,,490370,#N/A
54974,d008,,230069,54974
54977,d005,,423358,#N/A
54986,d009,,68760,#N/A
54987,d007,,289033,#N/A
54991,d004,,441197,#N/A
54995,d009,,419948,#N/A
55000,d009,,491494,#N/A
55003,d003,,69923,55003
55004,d005,,290565,#N/A
55007,d004,,229821,55007
55009,d009,,409091,#N/A
55013,d005,,72381,#N/A
55014,d005,,442933,#N/A
55016,d003,,12733,#N/A
55018,d001,,415160,#N/A
55018,d007,,480255,#N/A
55020,d005,,221426,#N/A
55021,d007,,32698,#N/A
55022,d004,,224218,#N/A
55024,d004,,292821,55024
55025,d005,,295569,#N/A
55027,d005,,281420,#N/A
55027,d008,,41753,#N/A
55029,d003,,90051,#N/A
55032,d006,,462596,55032
55034,d009,,203370,#N/A
55036,d004,,261945,#N/A
55036,d006,,103179,#N/A
55039,d005,,478047,#N/A
55042,d005,,495884,#N/A
55047,d004,,295282,55047
55048,d001,,272450,#N/A
55049,d007,,497906,#N/A
55051,d005,,95209,#N/A
55055,d004,,266204,#N/A
55058,d004,,413894,55058
55059,d005,,295696,#N/A
55066,d005,,279980,#N/A
55068,d005,,32331,#N/A
55069,d008,,20531,#N/A
55072,d004,,228325,55072
55072,d005,,106875,55072
55074,d006,,271042,#N/A
55075,d005,,55498,#N/A
55076,d005,,241372,#N/A
55078,d006,,71171,55078
55084,d007,,15710,55084
55086,d009,,69950,#N/A
55087,d007,,55214,#N/A
55088,d007,,245951,#N/A
55089,d003,,22616,#N/A
55091,d004,,105939,#N/A
55093,d004,,422331,55093
55093,d005,,83003,55093
55095,d004,,494076,#N/A
55099,d005,,437760,#N/A
55104,d005,,476745,#N/A
55105,d007,,424908,55105
55106,d009,,60452,#N/A
55108,d005,,446071,#N/A
55109,d005,,261633,55109
55110,d005,,73901,#N/A
55111,d005,,409539,#N/A
55115,d004,,409536,#N/A
55119,d005,,30113,#N/A
55120,d006,,56250,#N/A
55121,d004,,486703,#N/A
55125,d002,,230512,#N/A
55126,d005,,253692,#N/A
55129,d003,,251283,#N/A
55130,d007,,260227,#N/A
55131,d004,,253167,#N/A
55133,d001,,471889,#N/A
55133,d009,,89129,#N/A
55135,d003,,58626,#N/A
55140,d003,,259042,55140
55144,d005,,426522,#N/A
55150,d005,,59539,#N/A
55151,d005,,243799,#N/A
55152,d007,,268015,#N/A
55153,d009,,486975,#N/A
55154,d005,,36282,#N/A
55154,d008,,21850,#N/A
55159,d004,,58089,#N/A
55164,d004,,224805,#N/A
55165,d005,,292941,#N/A
55166,d007,,291517,55166
55168,d007,,85037,#N/A
55171,d009,,200328,#N/A
55173,d005,,412550,55173
55175,d002,,78381,#N/A
55181,d005,,459968,#N/A
55182,d005,,220577,#N/A
55183,d004,,93598,55183
55184,d001,,29039,#N/A
55190,d002,,449140,#N/A
55191,d001,,485197,#N/A
55194,d004,,25383,55194
55197,d003,,266071,#N/A
55202,d005,,293791,55202
55203,d005,,257649,55203
55205,d009,,435638,55205
55208,d004,,280993,#N/A
55208,d005,,411575,#N/A
55210,d005,,276429,#N/A
55211,d005,,68508,#N/A
55217,d008,,426914,#N/A
55218,d005,,412402,#N/A
55218,d008,,224910,#N/A
55224,d004,,208255,#N/A
55233,d005,,73957,#N/A
55236,d002,,227054,#N/A
55241,d004,,483073,#N/A
55242,d009,,407164,#N/A
55243,d005,,107236,55243
55245,d005,,222910,55245
55246,d004,,204686,55246
55246,d008,,461249,55246
55249,d004,,86252,55249
55260,d005,,431502,#N/A
55263,d005,,263417,#N/A
55263,d008,,241910,#N/A
55265,d004,,430398,#N/A
55269,d004,,442745,55269
55277,d005,,201581,#N/A
55279,d002,,46318,#N/A
55287,d008,,54392,55287
55288,d001,,488673,#N/A
55289,d008,,402269,55289
55291,d005,,269901,#N/A
55292,d004,,483168,#N/A
55292,d006,,46110,#N/A
55293,d008,,62801,#N/A
55298,d001,,465842,#N/A
55299,d004,,11031,#N/A
55300,d004,,255885,#N/A
55300,d006,,243170,#N/A
55302,d005,,216499,#N/A
55304,d008,,491202,#N/A
55306,d001,,445638,#N/A
55307,d004,,21216,#N/A
55308,d007,,439539,#N/A
55313,d006,,491634,#N/A
55314,d005,,265518,55314
55316,d008,,444590,#N/A
55319,d002,,11998,#N/A
55320,d004,,226467,55320
55321,d008,,240804,55321
55324,d001,,201398,#N/A
55327,d005,,98038,55327
55330,d006,,90795,#N/A
55331,d005,,260988,#N/A
55332,d004,,277081,#N/A
55333,d005,,226136,#N/A
55341,d005,,402292,#N/A
55342,d006,,51002,#N/A
55343,d003,,496891,#N/A
55344,d005,,441997,#N/A
55346,d004,,52069,#N/A
55346,d005,,441139,#N/A
55348,d007,,40608,#N/A
55349,d007,,405229,#N/A
55354,d004,,21442,#N/A
55355,d001,,20167,55355
55355,d007,,404835,55355
55356,d004,,292920,#N/A
55358,d005,,422127,#N/A
55360,d006,,479128,#N/A
55362,d007,,76410,#N/A
55364,d006,,225393,#N/A
55365,d005,,457935,#N/A
55365,d006,,436021,#N/A
55368,d007,,12694,#N/A
55370,d007,,109984,#N/A
55371,d006,,55140,#N/A
55373,d004,,427899,55373
55376,d004,,409615,#N/A
55379,d005,,30130,#N/A
55380,d005,,267088,#N/A
55383,d005,,15722,#N/A
55383,d008,,232826,#N/A
55385,d007,,404641,#N/A
55386,d001,,497295,55386
55388,d005,,407806,#N/A
55390,d002,,101995,#N/A
55392,d002,,418267,#N/A
55393,d005,,41751,#N/A
55393,d008,,71423,#N/A
55397,d009,,221854,#N/A
55401,d004,,462199,#N/A
55402,d005,,35957,#N/A
55402,d008,,298327,#N/A
55404,d008,,29731,#N/A
55406,d004,,452893,#N/A
55408,d005,,453876,#N/A
55413,d005,,489332,#N/A
55414,d005,,245920,#N/A
55416,d005,,15646,#N/A
55417,d003,,105566,#N/A
55425,d004,,296821,#N/A
55428,d005,,26740,#N/A
55429,d004,,64408,#N/A
55432,d004,,200961,#N/A
55432,d009,,24780,#N/A
55435,d007,,419538,#N/A
55444,d003,,236472,55444
55445,d005,,19987,55445
55449,d001,,30039,#N/A
55449,d003,,478476,#N/A
55453,d008,,200016,55453
55455,d005,,234304,55455
55456,d009,,91661,#N/A
55458,d004,,409800,#N/A
55458,d009,,436177,#N/A
55459,d006,,35708,#N/A
55460,d006,,107685,55460
55461,d004,,249315,#N/A
55464,d001,,230878,#N/A
55467,d003,,204508,55467
55471,d006,,438737,55471
55474,d002,,38634,55474
55475,d007,,475478,55475
55476,d005,,90011,#N/A
55477,d003,,46312,#N/A
55479,d004,,442197,#N/A
55479,d005,,438676,#N/A
55487,d008,,472721,#N/A
55488,d008,,68483,#N/A
55490,d004,,102575,#N/A
55490,d005,,406906,#N/A
55494,d004,,31951,#N/A
55496,d005,,283090,#N/A
55500,d004,,473328,#N/A
55502,d004,,443036,#N/A
55503,d005,,32309,#N/A
55504,d004,,66139,#N/A
55505,d005,,496608,#N/A
55508,d001,,235201,#N/A
55508,d007,,440459,#N/A
55512,d009,,22990,#N/A
55514,d003,,77200,#N/A
55515,d004,,229020,#N/A
55520,d004,,487366,#N/A
55526,d005,,84104,#N/A
55532,d007,,454858,#N/A
55533,d004,,425037,55533
55541,d005,,491328,#N/A
55545,d008,,497586,#N/A
55546,d005,,92450,#N/A
55547,d004,,433461,#N/A
55547,d006,,57111,#N/A
55556,d001,,404613,#N/A
55556,d007,,219113,#N/A
55557,d005,,103551,#N/A
55561,d004,,212872,#N/A
55562,d002,,276748,55562
55564,d005,,68757,55564
55566,d002,,400290,#N/A
55572,d007,,209326,55572
55573,d005,,233340,#N/A
55580,d008,,476050,#N/A
55582,d005,,73724,#N/A
55585,d001,,245479,#N/A
55588,d007,,478933,55588
55590,d004,,83278,#N/A
55594,d004,,61609,#N/A
55594,d005,,460351,#N/A
55598,d002,,470068,#N/A
55600,d005,,274099,#N/A
55601,d009,,278794,55601
55602,d005,,457541,#N/A
55604,d005,,30699,55604
55604,d008,,279056,55604
55607,d001,,455996,#N/A
55613,d005,,235653,#N/A
55617,d007,,465403,#N/A
55620,d001,,61178,#N/A
55625,d002,,294233,#N/A
55630,d004,,104154,#N/A
55632,d004,,404637,#N/A
55633,d005,,287412,#N/A
55633,d008,,435205,#N/A
55634,d001,,253383,#N/A
55635,d007,,236319,#N/A
55636,d001,,406130,#N/A
55639,d004,,459762,#N/A
55641,d005,,55320,55641
55647,d008,,49082,55647
55648,d003,,411813,#N/A
55652,d004,,55007,#N/A
55652,d005,,208318,#N/A
55653,d003,,74627,55653
55654,d007,,434835,#N/A
55656,d002,,408298,#N/A
55660,d004,,489935,#N/A
55661,d004,,87559,#N/A
55661,d009,,463313,#N/A
55662,d001,,56081,#N/A
55665,d004,,249475,#N/A
55667,d004,,231445,#N/A
55672,d004,,268412,55672
55676,d007,,480763,#N/A
55677,d006,,39858,#N/A
55680,d004,,58101,55680
55680,d006,,495143,55680
55685,d001,,411666,#N/A
55686,d004,,224664,55686
55690,d005,,93996,55690
55692,d009,,475648,#N/A
55693,d005,,459199,55693
55695,d008,,420207,#N/A
55696,d006,,102761,#N/A
55697,d008,,273056,#N/A
55698,d004,,497506,#N/A
55698,d006,,291324,#N/A
55701,d002,,77330,#N/A
55703,d004,,265978,#N/A
55704,d005,,434169,#N/A
55706,d004,,292517,55706
55707,d004,,213230,#N/A
55709,d009,,445043,55709
55716,d005,,261284,#N/A
55716,d008,,237567,#N/A
55719,d007,,275770,#N/A
55721,d009,,64379,#N/A
55723,d005,,270977,#N/A
55724,d005,,407987,#N/A
55726,d001,,271108,#N/A
55726,d003,,104269,#N/A
55728,d003,,247252,#N/A
55730,d002,,84870,#N/A
55731,d003,,266158,#N/A
55732,d005,,12208,#N/A
55738,d005,,44657,#N/A
55741,d007,,412159,55741
55742,d004,,73539,55742
55745,d008,,43396,#N/A
55747,d005,,414766,#N/A
55747,d008,,457792,#N/A
55748,d007,,81347,#N/A
55752,d005,,53556,#N/A
55755,d002,,30634,#N/A
55756,d007,,288503,#N/A
55756,d009,,92666,#N/A
55759,d002,,417062,#N/A
55761,d007,,40057,#N/A
55762,d004,,80201,55762
55763,d007,,472574,#N/A
55769,d007,,269831,55769
55771,d004,,201815,#N/A
55773,d007,,411317,#N/A
55774,d002,,40314,#N/A
55776,d001,,469151,55776
55776,d007,,49304,55776
55779,d005,,78494,#N/A
55786,d008,,456872,#N/A
55787,d008,,82250,#N/A
55789,d004,,223259,#N/A
55792,d009,,32682,#N/A
55797,d007,,420494,#N/A
55799,d004,,286489,#N/A
55802,d005,,408073,#N/A
55804,d006,,440311,#N/A
55805,d005,,468906,#N/A
55806,d008,,102327,#N/A
55813,d004,,69129,#N/A
55818,d003,,409723,#N/A
55824,d006,,418138,55824
55831,d007,,255031,55831
55832,d004,,294275,55832
55834,d002,,489998,55834
55834,d003,,103047,55834
55839,d007,,22864,#N/A
55841,d007,,46257,#N/A
55843,d004,,101244,#N/A
55843,d008,,297202,#N/A
55847,d004,,465012,#N/A
55851,d004,,418290,#N/A
55855,d007,,45331,#N/A
55859,d007,,38400,55859
55864,d007,,22891,#N/A
55868,d004,,446857,#N/A
55870,d002,,48500,#N/A
55870,d003,,214205,#N/A
55872,d005,,249352,#N/A
55874,d007,,488240,#N/A
55876,d009,,438994,#N/A
55878,d004,,250992,#N/A
55880,d003,,221632,#N/A
55881,d004,,268014,#N/A
55883,d005,,413194,55883
55885,d009,,66121,#N/A
55887,d007,,280608,#N/A
55890,d004,,417960,#N/A
55891,d006,,92385,#N/A
55894,d006,,434968,#N/A
55896,d005,,103627,#N/A
55897,d004,,296513,#N/A
55901,d001,,202256,#N/A
55906,d008,,109624,#N/A
55907,d001,,426057,#N/A
55907,d007,,443046,#N/A
55914,d004,,108453,#N/A
55916,d005,,69982,#N/A
55918,d004,,413468,#N/A
55918,d005,,246584,#N/A
55920,d009,,449547,55920
55921,d005,,204540,#N/A
55923,d004,,210855,55923
55924,d004,,283567,#N/A
55925,d009,,294257,55925
55926,d005,,255287,#N/A
55928,d005,,60109,#N/A
55937,d001,,444490,#N/A
55942,d005,,299705,#N/A
55944,d007,,459131,#N/A
55945,d005,,216166,#N/A
55950,d004,,442845,55950
55951,d004,,42613,#N/A
55953,d005,,406867,#N/A
55956,d006,,36205,#N/A
55958,d007,,443523,#N/A
55960,d002,,432084,#N/A
55961,d004,,281377,#N/A
55962,d005,,85715,#N/A
55963,d004,,204270,#N/A
55963,d008,,490049,#N/A
55967,d004,,282349,#N/A
55968,d005,,35623,#N/A
55972,d005,,461737,#N/A
55977,d007,,82703,#N/A
55980,d008,,482081,#N/A
55981,d005,,209983,#N/A
55987,d005,,14209,#N/A
55989,d007,,228102,#N/A
55990,d003,,454754,#N/A
55998,d008,,442741,#N/A
55999,d006,,288063,#N/A
56001,d005,,103091,#N/A
56004,d007,,448529,#N/A
56008,d005,,237279,#N/A
56010,d004,,235863,#N/A
56013,d005,,279305,#N/A
56015,d004,,242934,#N/A
56016,d003,,43421,#N/A
56017,d007,,446549,56017
56019,d002,,280278,#N/A
56019,d003,,100062,#N/A
56022,d004,,56521,#N/A
56024,d004,,16962,#N/A
56025,d004,,495538,#N/A
56026,d005,,227506,56026
56027,d004,,88274,56027
56029,d002,,243628,#N/A
56029,d003,,12893,#N/A
56039,d007,,241476,#N/A
56043,d009,,468702,#N/A
56045,d005,,244234,#N/A
56048,d004,,234246,#N/A
56054,d001,,491808,#N/A
56055,d005,,223718,#N/A
56057,d002,,73458,#N/A
56060,d005,,255423,#N/A
56060,d009,,497407,#N/A
56063,d004,,210279,#N/A
56070,d001,,25819,#N/A
56070,d007,,413392,#N/A
56073,d008,,486266,#N/A
56074,d002,,97351,#N/A
56082,d006,,224178,#N/A
56083,d008,,50619,56083
56084,d004,,249440,#N/A
56085,d007,,50749,#N/A
56086,d007,,466494,#N/A
56100,d001,,74917,#N/A
56104,d005,,86314,#N/A
56105,d005,,436965,56105
56107,d004,,497811,#N/A
56114,d005,,494721,#N/A
56117,d001,,215162,#N/A
56119,d005,,254969,56119
56124,d004,,475768,56124
56125,d005,,467223,56125
56126,d004,,95135,#N/A
56129,d003,,62224,56129
56132,d005,,217650,#N/A
56133,d007,,66111,#N/A
56137,d001,,249911,#N/A
56137,d007,,483418,#N/A
56142,d009,,100157,#N/A
56143,d007,,296660,56143
56144,d003,,238661,#N/A
56146,d005,,400893,56146
56148,d008,,42165,#N/A
56149,d005,,77238,56149
56150,d005,,444890,#N/A
56151,d004,,239160,#N/A
56154,d009,,419364,56154
56157,d008,,466849,#N/A
56161,d008,,212410,#N/A
56164,d001,,90862,#N/A
56165,d007,,463252,#N/A
56166,d001,,471657,#N/A
56166,d007,,104198,#N/A
56168,d005,,53243,56168
56171,d004,,236957,#N/A
56172,d007,,401835,#N/A
56175,d009,,15491,#N/A
56179,d004,,250668,#N/A
56181,d006,,42728,#N/A
56183,d002,,414857,#N/A
56186,d005,,250490,#N/A
56190,d003,,498676,#N/A
56192,d004,,252343,#N/A
56198,d006,,222214,#N/A
56200,d001,,467081,#N/A
56201,d005,,439865,#N/A
56204,d005,,214787,#N/A
56207,d004,,420904,#N/A
56215,d004,,270832,#N/A
56215,d009,,102667,#N/A
56216,d008,,55706,#N/A
56218,d001,,86874,#N/A
56222,d008,,201912,#N/A
56223,d004,,56616,#N/A
56225,d005,,234445,#N/A
56226,d007,,489413,#N/A
56228,d006,,428054,#N/A
56233,d004,,73816,56233
56233,d006,,101340,56233
56234,d004,,216852,#N/A
56235,d005,,406287,#N/A
56236,d005,,419874,#N/A
56238,d005,,90243,#N/A
56242,d008,,53235,#N/A
56243,d001,,463180,56243
56243,d009,,425315,56243
56248,d008,,102508,#N/A
56252,d004,,447352,#N/A
56257,d008,,464076,#N/A
56258,d005,,107788,#N/A
56261,d005,,427695,#N/A
56263,d005,,252723,#N/A
56263,d008,,498695,#N/A
56267,d004,,67753,56267
56271,d005,,481256,#N/A
56276,d004,,14583,56276
56277,d005,,456041,#N/A
56280,d007,,51965,#N/A
56282,d004,,18331,#N/A
56282,d009,,72162,#N/A
56286,d004,,40907,#N/A
56291,d007,,494401,56291
56295,d006,,33282,#N/A
56296,d004,,86144,#N/A
56297,d009,,71465,#N/A
56299,d005,,93276,#N/A
56299,d008,,410604,#N/A
56300,d005,,55572,56300
56302,d003,,19270,#N/A
